REGION,DISTRICT,WARD,SCHOOL NAME,SCHOOL REG. NUMBER,NECTA EXAM CENTRE NO.,SCHOOL OWNERSHIP,Form 1-Boys,Form 1-Girls,Form 2-Boys,Form 2-Girls,Form 3-Boys,Form 3-Girls,Form 4-Boys,Form 4-Girls,Form 5-Boys,Form 5-Girls,Form 6-Boys,Form 6-Girls,Total Boys,Total Girls,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Pass Rate (2016),AVERAGE GPA 2016,BAND OF SCHOOL 2016,BAND OF SCHOOL 2015,RANK OF SCHOOL 2016,RANK OF SCHOOL 2015,Candidates
KIGOMA,KIGOMA,MATENDO,ST. JOSEPH ITERAMBOGO,S.0114,S0159,NON-GOVERNMENT,85,0,69,0,57,0,73,0,,,,,284,0,18,1,7,0,14.9,40.6,100,1.8816,2,2,18,23,MORE THAN 40
IRINGA,IRINGA,KALENGA,TOSAMAGANGA,S.1,,GOVERNMENT,0,0,0,0,0,0,0,0,417,0,434,0,851,0,26,22,24,19,17.7,19.8,,,,,,,
DAR ES SALAAM,ILALA MC,UPANGA MAGHARIBI,TAMBAZA,S.10,,GOVERNMENT,,,,,,,,,228,212,208,172,436,384,24,42,24,42,12.4,12.4,,,,,,,
KILIMANJARO,MOSHI MC,KARANGA,MOSHI TECHNICAL,S.100,S0135,GOVERNMENT,121,45,132,50,186,103,206,110,190,0,252,0,1087,308,52,44,42,44,14.5,16.2,89,3.3923,5,6,399,691,MORE THAN 40
NJOMBE,MAKAMBAKO TC,MAJENGO,MCF MAKAMBAKO WASICHANA,S.1000,S0257,NON-GOVERNMENT,0,83,0,97,0,91,0,95,,,,,0,366,9,3,9,3,30.5,30.5,100,3.6966,6,6,591,537,MORE THAN 40
RUVUMA,MBINGA TC,MASUMUNI,MAKITA,S.1001,S1186,GOVERNMENT,76,81,28,21,54,40,85,35,120,0,77,0,440,177,21,17,17,10,16.2,22.9,83,4.1427,7,8,1445,1973,MORE THAN 40
KAGERA,NGARA,RUSUMO,BARAMBA,S.1002,S0258,NON-GOVERNMENT,0,67,0,109,0,85,0,80,,,,,0,341,13,3,10,3,21.3,26.2,97,3.6356,6,5,544,337,MORE THAN 40
IRINGA,IRINGA MC,GANGILONGA,KLERUU,S.1003,S1327,GOVERNMENT,87,110,97,102,113,115,130,128,,,,,427,455,23,21,21,21,20.0,21.0,90,3.8538,6,6,763,662,MORE THAN 40
ARUSHA,MERU,IMBASENI,TANZANIA ADVENTIST (TASS),S.1004,S1198,NON-GOVERNMENT,19,10,22,16,58,41,26,26,25,8,25,27,175,128,25,5,25,5,10.1,10.1,100,3.3114,5,4,359,236,MORE THAN 40
ARUSHA,NGORONGORO,OLORIEN/MAGAIDURU,LOLIONDO,S.1005,S1274,GOVERNMENT,66,60,86,100,55,47,80,60,55,0,,,342,267,26,12,23,12,16.0,17.4,89,3.9769,6,7,989,924,MORE THAN 40
